Date,Open
7-Aug-18,2190.9
11-Aug-18,2178
12-Aug-18,2141.9
13-Aug-18,2187
14-Aug-18,2204.9
15-Aug-18,2115
16-Aug-18,2077
17-Aug-18,2071.9
18-Aug-18,2073
19-Aug-18,2070
