"Date","Open"
"7-aug-2018","2190.9"
"11-aug-2018","2178"
"12-aug-2018","2141.9"
"13-aug-2018","2187"
"14-aug-2018","2204.9"
"15-aug-2018","2115"
"16-aug-2018","2077"
"17-aug-2018","2071.9"
"18-aug-2018","2073"
"19-aug-2018","2070"

